# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
1.2,-1.9,9.0046,1326,0.19924,opx;cpx;ol;spl,47.8052,0.92478,15.2466,0.12735,8.6775,12.1978,13.1445,1.7327,0.143581,0.8621
1.2,-1.8,10.0688,1321,0.200784,cpx;opx;ol;spl,47.5366,0.907218,15.1865,0.119652,9.49117,11.8897,13.0241,1.70311,0.141923,0.8576
1.2,-1.7,11.2542,1314,0.19992,opx;cpx;ol;spl,47.2245,0.900245,15.1854,0.110042,10.3475,11.5276,12.8784,1.68623,0.140084,0.8481
1.2,-1.6,12.5736,1308,0.200623,ol;cpx;spl;opx,46.8962,0.883984,15.1598,0.100918,11.2684,11.1602,12.7389,1.65503,0.136639,0.8403
1.2,-1.5,14.0405,1300,0.199069,spl;ol;cpx;opx,46.5359,0.870294,15.2126,0.0901602,12.1944,10.7441,12.5772,1.63974,0.135703,0.8268
1.2,-1.4,15.6699,1293,0.200837,spl;opx;ol;cpx,46.1655,0.851336,15.2028,0.0810616,13.1855,10.3483,12.4369,1.59614,0.132422,0.8181
1.2,-1.3,17.4776,1285,0.200758,cpx;ol;opx;spl,45.7519,0.831212,15.2735,0.0705475,14.1955,9.90474,12.281,1.56207,0.12957,0.8041
1.2,-1.2,19.4805,1276,0.200438,ol;cpx;opx;spl,45.3069,0.811787,15.391,0.0597926,15.2134,9.44059,12.1235,1.52694,0.126157,0.7877
1.2,-1.1,21.6965,1267,0.200379,ol;cpx;spl,44.2035,0.825187,15.431,0.0498594,16.4179,8.8787,12.561,1.50952,0.123361,0.8140
1.2,-1,24.1443,1314,0.199965,spl;ol,41.4934,0.821027,13.6138,0.0402639,20.3665,9.23112,12.8241,1.49016,0.11963,0.9420
1.25,-5,0.2609,1378,0.200064,opx;ol,50.7312,0.996829,15.9713,0.15792,0.296068,15.5066,14.2901,1.89233,0.157697,0.8947
1.25,-4.5,0.4637,1376,0.19987,opx;ol,50.6328,1.00056,15.9678,0.156801,0.522026,15.3977,14.2737,1.89206,0.156614,0.8939
1.25,-4,0.8236,1374,0.200171,opx;ol,50.4694,0.993145,15.9488,0.157758,0.920975,15.2374,14.234,1.88188,0.156686,0.8925
1.25,-3.5,1.4617,1369,0.200116,opx;ol,50.1722,0.991009,15.9345,0.157662,1.60825,14.9358,14.1744,1.87087,0.155329,0.8895
1.25,-3,2.5901,1360,0.199723,opx;ol;cpx,49.6639,0.981785,15.9252,0.157907,2.77972,14.4133,14.0685,1.85605,0.153734,0.8834
1.25,-2.9,2.9033,1358,0.200001,opx;ol;cpx,49.5377,0.980124,15.9096,0.158508,3.09354,14.292,14.0271,1.8476,0.153844,0.8817
1.25,-2.8,3.2540,1355,0.199292,opx;ol;cpx,49.3824,0.979108,15.9254,0.159014,3.44095,14.1389,13.9743,1.84674,0.153209,0.8775
1.25,-2.7,3.6465,1354,0.200676,opx;ol;cpx,49.239,0.971067,15.8779,0.160928,3.82559,14.0099,13.9357,1.82798,0.151926,0.8777
1.25,-2.6,4.0858,1350,0.199819,ol;opx;cpx,49.0476,0.969461,15.9017,0.161243,4.24982,13.8211,13.8709,1.82639,0.151766,0.8723
1.25,-2.5,4.5772,1347,0.199197,ol;opx;spl;cpx,48.8795,0.965456,15.8944,0.156814,4.70937,13.6296,13.7931,1.8206,0.151203,0.8678
1.25,-2.4,5.1268,1344,0.199352,opx;spl;cpx;ol,48.7131,0.959033,15.8578,0.151476,5.21615,13.4327,13.7104,1.80925,0.150098,0.8646
1.25,-2.3,5.7411,1341,0.200333,ol;opx;cpx;spl,48.5365,0.950517,15.8003,0.146366,5.76701,13.2321,13.6291,1.79,0.148096,0.8626
1.25,-2.2,6.4276,1337,0.20057,ol;opx;cpx;spl,48.3376,0.941472,15.7621,0.140125,6.36445,12.9991,13.5331,1.77543,0.146591,0.8586
1.25,-2.1,7.1942,1333,0.20024,ol;opx;spl;cpx,48.1111,0.933021,15.7452,0.132778,7.00872,12.7358,13.4253,1.76206,0.146092,0.8527
1.25,-2,8.0500,1328,0.200784,cpx;spl;ol;opx,47.876,0.926333,15.6995,0.12591,7.70225,12.4676,13.3164,1.74171,0.144354,0.8482
1.25,-1.9,9.0046,1323,0.200872,opx;cpx;ol;spl,47.6172,0.915327,15.6691,0.118129,8.45233,12.1671,13.1949,1.72331,0.142628,0.8421
1.25,-1.8,10.0688,1317,0.200488,spl;cpx;ol;opx,47.329,0.906099,15.6633,0.109461,9.24315,11.8389,13.0642,1.70541,0.140476,0.8341
1.25,-1.7,11.2542,1311,0.199646,spl;cpx;opx;ol,47.0167,0.8957,15.6793,0.100109,10.0747,11.4821,12.9229,1.6885,0.140026,0.8242
1.25,-1.6,12.5736,1305,0.200196,ol;opx;spl;cpx,46.6889,0.880294,15.6682,0.0913202,10.9692,11.12,12.7861,1.65917,0.136861,0.8161
1.25,-1.5,14.0405,1298,0.2005,ol;opx;spl;cpx,46.3337,0.864177,15.6845,0.0819638,11.899,10.7311,12.6417,1.62967,0.134187,0.8060
1.25,-1.4,15.6699,1290,0.200469,cpx;ol;spl;opx,45.9497,0.847705,15.7331,0.0721497,12.8575,10.3172,12.4915,1.59911,0.132006,0.7940
1.25,-1.3,17.4776,1282,0.200183,ol;opx;spl;cpx,45.5326,0.828659,15.8193,0.0619559,13.8442,9.87974,12.339,1.56602,0.128502,0.7800
1.25,-1.2,19.4805,1274,0.200294,ol;cpx;spl,44.3602,0.850502,15.7762,0.05286,15.0599,9.34219,12.8791,1.55263,0.126419,0.8164
1.25,-1.1,21.6965,1308,0.199903,spl;ol,42.0868,0.850819,14.3761,0.0439085,18.1144,9.51638,13.3514,1.53617,0.124042,0.9287
1.25,-1,24.1443,1419,0.200115,spl;ol;fper,40.7694,0.701229,8.80953,0.0316899,24.7733,11.6492,11.6584,1.48736,0.119852,1.3234
1.3,-5,0.2609,1371,0.199374,cpx;opx;ol,50.198,1.0044,16.5543,0.174503,0.286403,15.235,14.4834,1.90551,0.158437,0.8749
1.3,-4.5,0.4637,1369,0.199542,ol;opx;cpx,50.1084,1.00242,16.5421,0.175308,0.506314,15.1522,14.4565,1.89927,0.157459,0.8739
1.3,-4,0.8236,1367,0.199294,opx;ol;cpx,49.948,1.00317,16.5373,0.175591,0.89353,14.9916,14.3983,1.89573,0.156656,0.8707
1.3,-3.5,1.4617,1363,0.200457,cpx;spl;ol;opx,49.6792,0.992009,16.4973,0.177885,1.56205,14.7436,14.3197,1.87302,0.155259,0.8680
1.3,-3,2.5901,1356,0.200499,ol;cpx;spl;opx,49.3041,0.978583,16.4116,0.16557,2.70608,14.2995,14.1312,1.85033,0.152984,0.8611
1.3,-2.9,2.9033,1354,0.200554,cpx;ol;spl;opx,49.2039,0.975627,16.3898,0.162299,3.01142,14.1795,14.0798,1.84476,0.152847,0.8591
1.3,-2.8,3.2540,1352,0.199597,opx;ol;spl;cpx,49.0773,0.975574,16.3995,0.157537,3.34744,14.0301,14.0157,1.84443,0.152409,0.8546
1.3,-2.7,3.6465,1350,0.200734,ol;opx;cpx;spl,48.9648,0.968816,16.3414,0.154704,3.72376,13.9025,13.9637,1.8283,0.15194,0.8545
1.3,-2.6,4.0858,1347,0.20086,ol;opx;spl;cpx,48.8306,0.962559,16.3103,0.150498,4.13531,13.7436,13.8971,1.81948,0.150537,0.8520
1.3,-2.5,4.5772,1344,0.200132,spl;cpx;opx;ol,48.6702,0.961412,16.3067,0.144984,4.57948,13.5552,13.8169,1.81528,0.149777,0.8473
1.3,-2.4,5.1268,1341,0.200192,opx;cpx;spl;ol,48.5016,0.953922,16.2821,0.139723,5.07007,13.362,13.7381,1.8023,0.150254,0.8438
1.3,-2.3,5.7411,1337,0.199374,cpx;spl;ol;opx,48.3142,0.948435,16.274,0.133441,5.60476,13.1364,13.6422,1.79766,0.148978,0.8383
1.3,-2.2,6.4276,1333,0.199559,cpx;ol;opx;spl,48.112,0.945629,16.2442,0.127473,6.18346,12.9081,13.5483,1.7827,0.148102,0.8340
1.3,-2.1,7.1942,1329,0.200606,cpx;spl;ol;opx,47.9074,0.931458,16.188,0.121848,6.81727,12.6725,13.4541,1.7624,0.145009,0.8311
1.3,-2,8.0500,1324,0.199643,cpx;opx;spl;ol,47.6521,0.925637,16.1969,0.113843,7.49726,12.3824,13.3364,1.75026,0.145077,0.8234
