# Generated by make_continental_compositions.jl -- do not edit by hand.
# Stage 2: hydrous partial melting of the stage-1 oceanic crust (TTG model).
# isobaric 15.0 kbar, H2O=3.0 wt%, F_TARGET=0.20, batch melting
# Melt is the continental crust; the residue is discarded.
mg_si,delta_iw,T_melt2,melt_fraction2,residual_phases2,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O
0.65,-2.5,840,0.199595,g;amp;cpx;q;ru,72.6696,1.38927,13.3045,0.000951003,1.23872,3.57909,3.17075,3.93324,0.7138
0.65,-2.4,839,0.200305,g;cpx;amp;q;ru,72.6675,1.37163,13.3394,0.00061386,1.28375,3.47845,3.09748,4.04626,0.714864
0.65,-2.3,836,0.200579,amp;cpx;g;q;ru,72.7109,1.34924,13.3488,0.00040631,1.31861,3.39031,3.01311,4.15423,0.714461
0.65,-2.2,833,0.200266,amp;cpx;g;q;ru,72.7656,1.3208,13.3749,0.000285326,1.34171,3.27894,2.91203,4.29028,0.715451
0.65,-2.1,829,0.200461,amp;cpx;g;q;ru,72.7337,1.28075,13.5497,0.000178628,1.33549,3.05327,2.80659,4.51896,0.721342
0.65,-2,821,0.19992,cpx;g;amp;q;ru,72.6952,1.22449,13.7923,0.00012021,1.30748,2.75988,2.66638,4.82961,0.724611
0.65,-1.9,814,0.20029,g;amp;cpx;q;ru,72.6981,1.16436,13.99,8.38168e-05,1.28063,2.49309,2.49385,5.14571,0.734152
0.65,-1.8,804,0.200093,g;cpx;amp;q;ru,72.7817,1.09822,14.1096,6.12576e-05,1.26642,2.25963,2.28134,5.45978,0.743267
0.65,-1.7,798,0.199823,cpx;g;q;ru,73.3599,1.06014,13.5759,5.02986e-05,1.45266,2.33286,2.00079,5.47461,0.743114
0.65,-1.6,805,0.199903,g;cpx;opx;q;ru,73.8688,1.10211,12.9064,5.44137e-05,1.86846,2.34321,1.93246,5.25427,0.724261
0.65,-1.5,811,0.199678,g;cpx;opx;q;ru,74.257,1.14158,12.3289,5.69368e-05,2.32719,2.2863,1.89187,5.06366,0.70342
0.65,-1.4,925,0.200195,g;opx;cpx;ilm,59.8882,2.07973,15.2833,0.000223012,9.00197,3.87612,3.60104,5.58794,0.681469
0.65,-1.3,950,0.200154,ilm;opx;cpx;g,53.3165,2.04119,15.7952,0.000293298,13.8497,4.51234,4.29036,5.5288,0.665585
0.65,-1.2,951,0.199701,g;ilm;cpx;opx,52.2524,1.94023,15.3973,0.000287509,15.5635,4.50461,4.38204,5.31799,0.641663
