Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_503,460.9378319566116,M5,6371000.0,5.972e+24,349568.1671493948,0.2690895284641252,2.7783580829625588e-05,0.05,0.6666,True,0.77,False,0.55,True,True,328.393,Success
run_506,678.6558288385335,M5,6371000.0,5.972e+24,514192.5275406426,0.28231926822326,5.025585865178248e-05,0.05,0.6666,True,0.77,False,0.55,True,True,363.305,Success
run_508,1470.2328810317615,M5,6371000.0,5.972e+24,12340.896059293793,0.0076629025587464,1.807560162084614e-05,0.05,0.6666,True,0.77,False,0.55,True,True,368.248,Success
run_512,234.26894635066145,M5,6371000.0,5.972e+24,279389.86475291627,0.0038880413707154,0.021980449862318,0.05,0.6666,True,0.77,False,0.55,True,True,265.722,Success
run_510,1525.4286078126245,M5,6371000.0,5.972e+24,54373.55107858535,0.367040093073104,2.812126483504976e-06,0.05,0.6666,True,0.77,False,0.55,True,True,391.464,Success
run_513,515.6855879851719,M5,6371000.0,5.972e+24,238058.7531102255,3.852141268162567e-05,0.0544157950725929,0.05,0.6666,True,0.77,False,0.55,True,True,330.594,Success
run_514,1483.9363532932282,M5,6371000.0,5.972e+24,82261.1640603561,3.143589715629626e-05,0.8750825435404527,0.05,0.6666,True,0.77,False,0.55,True,True,532.525,Success
run_511,262.1064643838955,M5,6371000.0,5.972e+24,314161.21285252745,0.0016935979128031,2.8236923977335822e-06,0.05,0.6666,True,0.77,False,0.55,True,True,246.519,Success
run_516,1017.607665702182,M5,6371000.0,5.972e+24,37526.5193156321,3.586976059930743e-05,0.844872339711376,0.05,0.6666,True,0.77,False,0.55,True,True,398.298,Success
run_517,1913.7822467948888,M5,6371000.0,5.972e+24,137354.8214632588,0.9651958153705816,1.0127913469013084e-05,0.05,0.6666,True,0.77,False,0.55,True,True,432.154,Success
run_519,446.9220031847342,M5,6371000.0,5.972e+24,63176.91827667042,2.6594867440137447e-05,0.0493520976110505,0.05,0.6666,True,0.77,False,0.55,True,True,289.819,Success
run_518,2031.6748759275945,M5,6371000.0,5.972e+24,83451.62857943481,0.0202193648022549,0.0785715731012623,0.05,0.6666,True,0.77,False,0.55,True,True,539.412,Success
