,x_co2,S,T
429,0.01778279410038923,0.3333333333333333,241.034
430,0.01778279410038923,0.3916666666666666,249.441
431,0.01778279410038923,0.44999999999999996,256.517
432,0.01778279410038923,0.5083333333333333,262.42
433,0.01778279410038923,0.5666666666666667,267.444
434,0.01778279410038923,0.6249999999999999,271.915
435,0.01778279410038923,0.6833333333333332,276.185
436,0.01778279410038923,0.7416666666666666,280.086
437,0.01778279410038923,0.7999999999999999,283.63
438,0.01778279410038923,0.8583333333333333,286.9
439,0.01778279410038923,0.9166666666666665,289.948
440,0.01778279410038923,0.9749999999999999,292.919
441,0.01778279410038923,1.0333333333333332,295.869
442,0.01778279410038923,1.0916666666666666,330.509
443,0.01778279410038923,1.15,335.223
444,0.01778279410038923,1.2083333333333333,340.647
445,0.01778279410038923,1.2666666666666666,346.414
446,0.01778279410038923,1.325,352.348
447,0.01778279410038923,1.3833333333333333,358.312
448,0.01778279410038923,1.4416666666666667,364.047
449,0.01778279410038923,1.5,369.547
450,0.03162277660168379,0.1,185.83
451,0.03162277660168379,0.15833333333333333,205.329
452,0.03162277660168379,0.21666666666666667,219.946
453,0.03162277660168379,0.275,231.982
454,0.03162277660168379,0.3333333333333333,241.899
455,0.03162277660168379,0.3916666666666666,250.348
456,0.03162277660168379,0.44999999999999996,257.427
457,0.03162277660168379,0.5083333333333333,263.333
458,0.03162277660168379,0.5666666666666667,268.345
459,0.03162277660168379,0.6249999999999999,272.866
460,0.03162277660168379,0.6833333333333332,277.14
461,0.03162277660168379,0.7416666666666666,281.009
462,0.03162277660168379,0.7999999999999999,284.522
463,0.03162277660168379,0.8583333333333333,287.798
464,0.03162277660168379,0.9166666666666665,290.847
465,0.03162277660168379,0.9749999999999999,293.878
466,0.03162277660168379,1.0333333333333332,296.832
467,0.03162277660168379,1.0916666666666666,331.394
468,0.03162277660168379,1.15,336.198
469,0.03162277660168379,1.2083333333333333,341.772
470,0.03162277660168379,1.2666666666666666,347.678
471,0.03162277660168379,1.325,353.768
472,0.03162277660168379,1.3833333333333333,359.805
473,0.03162277660168379,1.4416666666666667,365.535
474,0.03162277660168379,1.5,371.15
475,0.05623413251903491,0.1,186.013
476,0.05623413251903491,0.15833333333333333,205.781
477,0.05623413251903491,0.21666666666666667,220.641
478,0.05623413251903491,0.275,232.864
479,0.05623413251903491,0.3333333333333333,242.937
480,0.05623413251903491,0.3916666666666666,251.442
481,0.05623413251903491,0.44999999999999996,258.518
482,0.05623413251903491,0.5083333333333333,264.415
483,0.05623413251903491,0.5666666666666667,269.436
484,0.05623413251903491,0.6249999999999999,274.029
485,0.05623413251903491,0.6833333333333332,278.312
486,0.05623413251903491,0.7416666666666666,282.14
487,0.05623413251903491,0.7999999999999999,285.662
488,0.05623413251903491,0.8583333333333333,288.929
489,0.05623413251903491,0.9166666666666665,291.997
490,0.05623413251903491,0.9749999999999999,295.097
491,0.05623413251903491,1.0333333333333332,297.935
492,0.05623413251903491,1.0916666666666666,332.252
493,0.05623413251903491,1.15,337.064
494,0.05623413251903491,1.2083333333333333,342.679
495,0.05623413251903491,1.2666666666666666,348.696
496,0.05623413251903491,1.325,354.912
497,0.05623413251903491,1.3833333333333333,361.024
498,0.05623413251903491,1.4416666666666667,366.775
499,0.05623413251903491,1.5,372.628
500,0.1,0.1,186.189
501,0.1,0.15833333333333333,206.241
502,0.1,0.21666666666666667,221.384
503,0.1,0.275,233.814
504,0.1,0.3333333333333333,244.053
505,0.1,0.3916666666666666,252.643
506,0.1,0.44999999999999996,259.71
507,0.1,0.5083333333333333,265.599
508,0.1,0.5666666666666667,270.631
509,0.1,0.6249999999999999,275.328
510,0.1,0.6833333333333332,279.604
511,0.1,0.7416666666666666,283.416
512,0.1,0.7999999999999999,286.954
513,0.1,0.8583333333333333,290.205
514,0.1,0.9166666666666665,293.386
515,0.1,0.9749999999999999,296.475
516,0.1,1.0333333333333332,328.964
517,0.1,1.0916666666666666,333.052
518,0.1,1.15,337.754
519,0.1,1.2083333333333333,343.281
520,0.1,1.2666666666666666,349.296
521,0.1,1.325,355.577
522,0.1,1.3833333333333333,361.757
523,0.1,1.4416666666666667,367.565
524,0.1,1.5,373.641
525,0.1778279410038923,0.1,186.26
526,0.1778279410038923,0.15833333333333333,206.614
527,0.1778279410038923,0.21666666666666667,222.066
528,0.1778279410038923,0.275,234.707
529,0.1778279410038923,0.3333333333333333,245.141
530,0.1778279410038923,0.3916666666666666,253.81
531,0.1778279410038923,0.44999999999999996,260.894
532,0.1778279410038923,0.5083333333333333,266.771
533,0.1778279410038923,0.5666666666666667,271.82
534,0.1778279410038923,0.6249999999999999,276.647
535,0.1778279410038923,0.6833333333333332,280.88
536,0.1778279410038923,0.7416666666666666,284.725
537,0.1778279410038923,0.7999999999999999,288.281
538,0.1778279410038923,0.8583333333333333,291.56
539,0.1778279410038923,0.9166666666666665,294.848
540,0.1778279410038923,0.9749999999999999,297.825
541,0.1778279410038923,1.0333333333333332,329.728
542,0.1778279410038923,1.0916666666666666,333.669
543,0.1778279410038923,1.15,338.209
544,0.1778279410038923,1.2083333333333333,343.508
545,0.1778279410038923,1.2666666666666666,349.362
546,0.1778279410038923,1.325,355.602
547,0.1778279410038923,1.3833333333333333,361.787
548,0.1778279410038923,1.4416666666666667,367.641
549,0.1778279410038923,1.5,373.842
550,0.31622776601683794,0.1,186.118
551,0.31622776601683794,0.15833333333333333,206.784
552,0.31622776601683794,0.21666666666666667,222.549
553,0.31622776601683794,0.275,235.408
554,0.31622776601683794,0.3333333333333333,246.031
555,0.31622776601683794,0.3916666666666666,254.806
556,0.31622776601683794,0.44999999999999996,261.925
557,0.31622776601683794,0.5083333333333333,267.825
558,0.31622776601683794,0.5666666666666667,273.002
559,0.31622776601683794,0.6249999999999999,277.875
560,0.31622776601683794,0.6833333333333332,282.114
561,0.31622776601683794,0.7416666666666666,285.992
562,0.31622776601683794,0.7999999999999999,289.538
563,0.31622776601683794,0.8583333333333333,292.921
564,0.31622776601683794,0.9166666666666665,296.247
565,0.31622776601683794,0.9749999999999999,326.68
566,0.31622776601683794,1.0333333333333332,330.23
567,0.31622776601683794,1.0916666666666666,334.01
568,0.31622776601683794,1.15,338.318
569,0.31622776601683794,1.2083333333333333,343.305
570,0.31622776601683794,1.2666666666666666,348.849
571,0.31622776601683794,1.325,354.852
572,0.31622776601683794,1.3833333333333333,360.951
573,0.31622776601683794,1.4416666666666667,366.804
574,0.31622776601683794,1.5,372.888
575,0.5623413251903491,0.1,185.656
576,0.5623413251903491,0.15833333333333333,206.62
577,0.5623413251903491,0.21666666666666667,222.679
578,0.5623413251903491,0.275,235.761
579,0.5623413251903491,0.3333333333333333,246.588
580,0.5623413251903491,0.3916666666666666,255.484
581,0.5623413251903491,0.44999999999999996,262.687
582,0.5623413251903491,0.5083333333333333,268.646
583,0.5623413251903491,0.5666666666666667,273.98
584,0.5623413251903491,0.6249999999999999,278.912
585,0.5623413251903491,0.6833333333333332,283.161
586,0.5623413251903491,0.7416666666666666,287.077
587,0.5623413251903491,0.7999999999999999,290.606
588,0.5623413251903491,0.8583333333333333,294.146
589,0.5623413251903491,0.9166666666666665,297.392
590,0.5623413251903491,0.9749999999999999,326.864
591,0.5623413251903491,1.0333333333333332,330.293
592,0.5623413251903491,1.0916666666666666,333.902
593,0.5623413251903491,1.15,337.919
594,0.5623413251903491,1.2083333333333333,342.53
595,0.5623413251903491,1.2666666666666666,347.703
596,0.5623413251903491,1.325,353.329
597,0.5623413251903491,1.3833333333333333,359.194
598,0.5623413251903491,1.4416666666666667,364.945
599,0.5623413251903491,1.5,370.646
600,1.0,0.1,184.779
601,1.0,0.15833333333333333,205.993
602,1.0,0.21666666666666667,222.314
603,1.0,0.275,235.644
604,1.0,0.3333333333333333,246.691
605,1.0,0.3916666666666666,255.767
606,1.0,0.44999999999999996,263.1
607,1.0,0.5083333333333333,269.142
608,1.0,0.5666666666666667,274.645
609,1.0,0.6249999999999999,279.623
610,1.0,0.6833333333333332,283.901
