Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.5,1.0,1e-06,0.1,0.05,0.3,0.25,221.71788485387498
0.5,1.0,1e-06,0.001,0.05,0.3,0.25,216.28996906670713
0.4,1.0,10.0,1e-06,0.05,0.3,0.25,220.8181932080294
0.4,1.0,10.0,0.01,0.05,0.3,0.25,236.80804078811437
0.5,1.0,1e-06,10.0,0.05,0.3,0.25,229.46587790966873
0.4,1.0,10.0,10.0,0.05,0.3,0.25,253.45899027510717
0.4,1.0,10.0,1e-05,0.05,0.3,0.25,223.48018582612167
0.5,1.0,1e-05,1e-05,0.05,0.3,0.25,215.33007020003774
0.5,1.0,1e-05,0.0001,0.05,0.3,0.25,217.53025289622266
0.4,1.0,10.0,0.1,0.05,0.3,0.25,246.8070647032203
0.4,1.0,10.0,1.0,0.05,0.3,0.25,265.11949229421856
0.5,1.0,1e-05,1e-06,0.05,0.3,0.25,213.44337887976752
0.5,1.0,1e-06,1.0,0.05,0.3,0.25,229.55246237214683
0.5,1.0,1e-05,0.01,0.05,0.3,0.25,222.83270450972503
0.5,1.0,1e-05,1.0,0.05,0.3,0.25,235.87762097728546
0.5,1.0,1e-05,0.001,0.05,0.3,0.25,220.19653608406867
0.5,1.0,1e-05,10.0,0.05,0.3,0.25,232.2216955353692
0.5,1.0,0.0001,0.0001,0.05,0.3,0.25,223.32139647778538
0.5,1.0,1e-05,0.1,0.05,0.3,0.25,226.47762181662893
0.5,1.0,0.0001,0.001,0.05,0.3,0.25,226.3820363342473
0.5,1.0,0.0001,1.0,0.05,0.3,0.25,247.0263503122521
0.5,1.0,0.0001,1e-06,0.05,0.3,0.25,218.63999063186125
0.5,1.0,0.0001,1e-05,0.05,0.3,0.25,220.78658432267486
0.5,1.0,0.0001,0.1,0.05,0.3,0.25,234.05893455517293
0.5,1.0,0.001,0.001,0.05,0.3,0.25,234.93107876616426
0.5,1.0,0.0001,0.01,0.05,0.3,0.25,229.48828622826926
0.5,1.0,0.001,1e-05,0.05,0.3,0.25,228.3022590954877
0.5,1.0,0.0001,10.0,0.05,0.3,0.25,238.5001491008788
0.5,1.0,0.001,10.0,0.05,0.3,0.25,249.66009902569266
0.5,1.0,0.001,1.0,0.05,0.3,0.25,262.147188611579
0.5,1.0,0.001,0.1,0.05,0.3,0.25,244.66451655110802
