Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.4,1.0,10.0,1.0,0.05,0.3,0.25,497.8344392842766
0.5,1.0,0.0001,0.1,0.05,0.3,0.25,235.47327973309993
0.5,1.0,0.0001,0.01,0.05,0.3,0.25,230.7375353768214
0.5,1.0,0.0001,1e-05,0.05,0.3,0.25,221.8550163269012
0.5,1.0,0.001,1e-06,0.05,0.3,0.25,228.31576784933472
0.5,1.0,0.0001,0.001,0.05,0.3,0.25,227.56542517408153
0.5,1.0,0.001,0.0001,0.05,0.3,0.25,234.07703702694474
0.5,1.0,0.001,0.1,0.05,0.3,0.25,248.3305327036891
0.5,1.0,0.001,0.01,0.05,0.3,0.25,241.93451378516517
0.5,1.0,0.001,1e-05,0.05,0.3,0.25,230.91895903421772
0.5,1.0,0.001,10.0,0.05,0.3,0.25,253.94404350296193
0.5,1.0,0.001,1.0,0.05,0.3,0.25,267.32661990224227
0.5,1.0,0.01,1e-05,0.05,0.3,0.25,243.00576443544452
0.5,1.0,0.01,1e-06,0.05,0.3,0.25,240.08311263954903
0.5,1.0,0.001,0.001,0.05,0.3,0.25,237.90491678520846
0.5,1.0,0.01,0.01,0.05,0.3,0.25,256.3574322458946
0.5,1.0,0.01,0.1,0.05,0.3,0.25,264.9377237764756
0.5,1.0,0.01,10.0,0.05,0.3,0.25,272.7799317505059
0.5,1.0,0.01,0.0001,0.05,0.3,0.25,246.74313663635215
0.5,1.0,0.01,0.001,0.05,0.3,0.25,251.2875316318206
0.5,1.0,0.1,0.001,0.05,0.3,0.25,265.5425763864105
0.5,1.0,0.1,1e-05,0.05,0.3,0.25,257.91798908143556
0.5,1.0,0.01,1.0,0.05,0.3,0.25,287.81922273233505
0.5,1.0,1.0,1e-06,0.05,0.3,0.25,292.6892464661774
0.5,1.0,0.1,0.0001,0.05,0.3,0.25,261.2178060323614
0.5,1.0,1.0,0.0001,0.05,0.3,0.25,295.37150146159036
0.5,1.0,0.1,1.0,0.05,0.3,0.25,312.03079414295115
0.5,1.0,0.1,10.0,0.05,0.3,0.25,293.4210216504191
0.5,1.0,0.1,1e-06,0.05,0.3,0.25,255.73061354480083
0.5,1.0,1.0,0.01,0.05,0.3,0.25,306.64408411736446
0.5,1.0,1.0,0.1,0.05,0.3,0.25,328.5009278298675
0.5,1.0,0.1,0.1,0.05,0.3,0.25,282.8470706959945
0.5,1.0,1.0,0.001,0.05,0.3,0.25,299.0048454006918
0.5,1.0,0.1,0.01,0.05,0.3,0.25,271.1056919990167
0.5,1.0,1.0,10.0,0.05,0.3,0.25,324.2270138534887
0.5,1.0,1.0,1e-05,0.05,0.3,0.25,293.3790410730861
0.5,1.0,10.0,0.01,0.05,0.3,0.25,480.5095666857344
0.5,1.0,10.0,0.0001,0.05,0.3,0.25,466.24425525012987
0.5,1.0,10.0,0.001,0.05,0.3,0.25,470.7555490989634
0.5,1.0,10.0,1e-06,0.05,0.3,0.25,464.4129006234686
0.5,1.0,1.0,1.0,0.05,0.3,0.25,379.3167060838867
0.6,1.0,1e-06,0.0001,0.05,0.3,0.25,224.30471481524415
0.6,1.0,1e-06,0.001,0.05,0.3,0.25,226.9746201797969
0.6,1.0,1e-06,1e-05,0.05,0.3,0.25,222.03741849954528
0.5,1.0,10.0,0.1,0.05,0.3,0.25,499.45802628940294
0.6,1.0,1e-06,0.1,0.05,0.3,0.25,233.31096303990591
0.6,1.0,1e-06,1e-06,0.05,0.3,0.25,220.13541915161562
0.5,1.0,10.0,1e-05,0.05,0.3,0.25,464.77986484928977
0.6,1.0,1e-06,0.01,0.05,0.3,0.25,229.60596815040378
0.6,1.0,1e-05,1e-06,0.05,0.3,0.25,223.4865795426199
0.6,1.0,1e-06,10.0,0.05,0.3,0.25,242.12082243063477
0.6,1.0,1e-05,0.0001,0.05,0.3,0.25,228.03180055448104
0.6,1.0,1e-05,0.01,0.05,0.3,0.25,233.87703743189815
0.6,1.0,1e-06,1.0,0.05,0.3,0.25,242.1480651155871
0.5,1.0,10.0,1.0,0.05,0.3,0.25,547.7933142059937
0.6,1.0,1e-05,1e-05,0.05,0.3,0.25,225.56586288098185
0.6,1.0,1e-05,1.0,0.05,0.3,0.25,249.01204515092374
