Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_37,399.07319231960963,M5,6371000.0,5.972e+24,888676.9744160855,0.00034721168081711313,0.00024385895392363608,0.05,0.6666,True,0.77,False,0.55,True,True,299.792,Success
run_38,1664.2020851536442,M5,6371000.0,5.972e+24,445861.7323104437,0.3593983928914374,0.00029537035886183357,0.05,0.6666,True,0.77,False,0.55,True,True,518.743,Success
run_31,1552.915022987012,M5,6371000.0,5.972e+24,69413.42207019638,0.007522678631502132,0.00030652550727804713,0.05,0.6666,True,0.77,False,0.55,True,True,390.114,Success
run_33,341.8177770917782,M5,6371000.0,5.972e+24,14392.729564445286,1.3524044828888708e-06,0.0003006832397396944,0.05,0.6666,True,0.77,False,0.55,True,True,242.753,Success
run_42,1840.994101611287,M5,6371000.0,5.972e+24,599586.1433299427,1.0032745243804986e-05,0.0023159755901547454,0.05,0.6666,True,0.77,False,0.55,True,True,483.852,Success
run_35,754.9653683281936,M5,6371000.0,5.972e+24,77563.75977165678,0.026680734153456,4.989987379676923e-06,0.05,0.6666,True,0.77,False,0.55,True,True,322.519,Success
run_44,1031.4677013991145,M5,6371000.0,5.972e+24,31912.99222658713,5.4124799698789686e-06,0.001732965720873495,0.05,0.6666,True,0.77,False,0.55,True,True,335.176,Success
run_43,1590.9653316087813,M5,6371000.0,5.972e+24,176519.2809428769,1.8033707956699018e-06,0.00015271471110875844,0.05,0.6666,True,0.77,False,0.55,True,True,385.017,Success
run_47,415.425081197383,M5,6371000.0,5.972e+24,190144.68950779084,9.013778592091526e-05,0.0018089888328701022,0.05,0.6666,True,0.77,False,0.55,True,True,293.141,Success
run_40,1717.6030175507253,M5,6371000.0,5.972e+24,45650.46913324838,0.011336442042444507,4.8180652666870366e-06,0.05,0.6666,True,0.77,False,0.55,True,True,389.06,Success
run_49,1174.9932938243678,M5,6371000.0,5.972e+24,219950.81126100596,0.00015003723666457802,0.0012532074436925281,0.05,0.6666,True,0.77,False,0.55,True,True,378.897,Success
run_50,1919.9593906723826,M5,6371000.0,5.972e+24,43894.03776198901,0.019286826298252492,0.12486994161316324,0.05,0.6666,True,0.77,False,0.55,True,True,484.095,Success
run_51,1247.7052434677992,M5,6371000.0,5.972e+24,11452.444670647417,0.03184059905131477,0.13141046456236455,0.05,0.6666,True,0.77,False,0.55,True,True,379.592,Success
run_41,1895.770434056152,M5,6371000.0,5.972e+24,80202.66538668967,0.04335895067934009,0.0017723034624807757,0.05,0.6666,True,0.77,False,0.55,True,True,434.125,Success
run_45,998.3375470443337,M5,6371000.0,5.972e+24,32768.2942925738,0.0005910960917033135,1.353946163962798e-06,0.05,0.6666,True,0.77,False,0.55,True,True,332.98,Success
run_46,1217.4050893221936,M5,6371000.0,5.972e+24,16844.757614983515,0.563940700783266,0.0002523683776278683,0.05,0.6666,True,0.77,False,0.55,True,True,363.684,Success
run_53,744.4808213410876,M5,6371000.0,5.972e+24,62637.2179918243,7.962438635018216e-06,0.036817982710962864,0.05,0.6666,True,0.77,False,0.55,True,True,326.526,Success
run_48,867.3449329091139,M5,6371000.0,5.972e+24,12558.261501784506,0.1745426321781215,4.008746996346458e-06,0.05,0.6666,True,0.77,False,0.55,True,True,297.495,Success
run_58,478.2131046990203,M5,6371000.0,5.972e+24,295825.2008929665,0.00043213466881055114,0.010778302283194761,0.05,0.6666,True,0.77,False,0.55,True,True,313.663,Success
run_57,1681.7143158734882,M5,6371000.0,5.972e+24,491474.12244527164,3.2556836084019046e-05,0.013233778099353312,0.05,0.6666,True,0.77,False,0.55,True,True,535.826,Success
run_59,373.7480073210405,M5,6371000.0,5.972e+24,981825.8884759697,0.018713638441539917,0.00026333265114181616,0.05,0.6666,True,0.77,False,0.55,True,True,338.623,Success
run_52,217.4887047487108,M5,6371000.0,5.972e+24,133853.25344664833,0.940258921956217,0.00034186982475671406,0.05,0.6666,True,0.77,False,0.55,True,True,259.773,Success
run_54,219.9613011181453,M5,6371000.0,5.972e+24,18325.194953665574,0.017039074075601388,0.00017398244236590933,0.05,0.6666,True,0.77,False,0.55,True,True,225.558,Success
run_62,1916.0114152524898,M5,6371000.0,5.972e+24,34398.23130173523,8.164737156816842e-06,0.04197859731774223,0.05,0.6666,True,0.77,False,0.55,True,True,415.683,Success
