,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
314,test,1.2,0.25,10.0,350.0,Runaway
315,test,1.2,0.5,1e-07,350.0,Runaway
316,test,1.2,0.5,1e-06,350.0,Runaway
317,test,1.2,0.5,1e-05,350.0,Runaway
318,test,1.2,0.5,0.0001,350.0,Runaway
319,test,1.2,0.5,0.001,350.0,Runaway
320,test,1.2,0.5,0.01,350.0,Runaway
321,test,1.2,0.5,0.1,350.0,Runaway
322,test,1.2,0.5,1.0,350.0,Runaway
323,test,1.2,0.5,10.0,350.0,Runaway
324,test,1.3,0.0,1e-07,350.0,Runaway
325,test,1.3,0.0,1e-06,350.0,Runaway
326,test,1.3,0.0,1e-05,350.0,Runaway
327,test,1.3,0.0,0.0001,350.0,Runaway
328,test,1.3,0.0,0.001,350.0,Runaway
329,test,1.3,0.0,0.01,350.0,Runaway
330,test,1.3,0.0,0.1,350.0,Runaway
331,test,1.3,0.0,1.0,350.0,Runaway
332,test,1.3,0.0,10.0,350.0,Runaway
333,test,1.3,0.25,1e-07,350.0,Runaway
334,test,1.3,0.25,1e-06,350.0,Runaway
335,test,1.3,0.25,1e-05,350.0,Runaway
336,test,1.3,0.25,0.0001,350.0,Runaway
337,test,1.3,0.25,0.001,350.0,Runaway
338,test,1.3,0.25,0.01,350.0,Runaway
339,test,1.3,0.25,0.1,350.0,Runaway
340,test,1.3,0.25,1.0,350.0,Runaway
341,test,1.3,0.25,10.0,350.0,Runaway
342,test,1.3,0.5,1e-07,350.0,Runaway
343,test,1.3,0.5,1e-06,350.0,Runaway
344,test,1.3,0.5,1e-05,350.0,Runaway
345,test,1.3,0.5,0.0001,350.0,Runaway
346,test,1.3,0.5,0.001,350.0,Runaway
347,test,1.3,0.5,0.01,350.0,Runaway
348,test,1.3,0.5,0.1,350.0,Runaway
349,test,1.3,0.5,1.0,350.0,Runaway
350,test,1.3,0.5,10.0,350.0,Runaway
351,test,1.4,0.0,1e-07,350.0,Runaway
352,test,1.4,0.0,1e-06,350.0,Runaway
353,test,1.4,0.0,1e-05,350.0,Runaway
354,test,1.4,0.0,0.0001,350.0,Runaway
355,test,1.4,0.0,0.001,350.0,Runaway
356,test,1.4,0.0,0.01,350.0,Runaway
357,test,1.4,0.0,0.1,350.0,Runaway
358,test,1.4,0.0,1.0,350.0,Runaway
359,test,1.4,0.0,10.0,350.0,Runaway
360,test,1.4,0.25,1e-07,350.0,Runaway
361,test,1.4,0.25,1e-06,350.0,Runaway
362,test,1.4,0.25,1e-05,350.0,Runaway
363,test,1.4,0.25,0.0001,350.0,Runaway
364,test,1.4,0.25,0.001,350.0,Runaway
365,test,1.4,0.25,0.01,350.0,Runaway
366,test,1.4,0.25,0.1,350.0,Runaway
367,test,1.4,0.25,1.0,350.0,Runaway
368,test,1.4,0.25,10.0,350.0,Runaway
369,test,1.4,0.5,1e-07,350.0,Runaway
370,test,1.4,0.5,1e-06,350.0,Runaway
371,test,1.4,0.5,1e-05,350.0,Runaway
372,test,1.4,0.5,0.0001,350.0,Runaway
373,test,1.4,0.5,0.001,350.0,Runaway
374,test,1.4,0.5,0.01,350.0,Runaway
375,test,1.4,0.5,0.1,350.0,Runaway
376,test,1.4,0.5,1.0,350.0,Runaway
377,test,1.4,0.5,10.0,350.0,Runaway
378,test,1.5,0.0,1e-07,350.0,Runaway
